open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733029920000,96496.60,96496.70,96460.00,96460.10,76.655,1733030099999,7396187.04470,1453,34.549,3333570.27860,0
1733030100000,96460.10,96538.30,96455.60,96538.30,108.450,1733030279999,10463744.19750,2335,49.585,4784507.05930,0
1733030280000,96538.30,96577.70,96494.80,96516.10,124.762,1733030459999,12045270.03280,2653,41.021,3960613.29850,0
1733030460000,96516.10,96558.80,96406.70,96487.80,402.744,1733030639999,38861465.89720,4277,94.759,9145924.52900,0
1733030640000,96487.80,96502.10,96471.00,96476.40,70.200,1733030819999,6773471.35560,1552,15.651,1510138.78380,0
1733030820000,96476.30,96508.50,96476.30,96489.90,87.450,1733030999999,8438019.77560,1526,26.243,2532043.16280,0
1733031000000,96489.80,96495.00,96436.50,96479.50,80.703,1733031179999,7785441.66440,2259,27.649,2667159.91740,0
1733031180000,96479.50,96528.90,96467.70,96520.00,83.739,1733031359999,8080646.90040,1944,39.927,3852739.57160,0
1733031360000,96519.90,96520.00,96414.60,96436.20,118.697,1733031539999,11448519.42430,2580,37.470,3614398.45730,0
1733031540000,96436.30,96520.00,96421.90,96520.00,67.617,1733031719999,6522617.39160,1769,29.476,2843387.29970,0
1733031720000,96519.90,96520.00,96476.70,96511.10,79.481,1733031899999,7669831.67030,1799,39.036,3766849.53160,0
1733031900000,96511.20,96520.00,96466.70,96473.60,90.212,1733032079999,8705678.40710,1785,42.767,4126994.13220,0
1733032080000,96473.50,96488.90,96462.60,96479.80,72.843,1733032259999,7027588.13130,1531,27.424,2645658.81170,0
1733032260000,96479.70,96540.00,96449.10,96460.60,119.591,1733032439999,11540773.47740,2574,49.734,4799697.63360,0
1733032440000,96460.60,96467.10,96396.50,96404.00,137.836,1733032619999,13289858.14640,2586,40.180,3873926.57940,0
1733032620000,96404.00,96404.10,96324.80,96384.60,210.506,1733032799999,20284737.93840,2979,65.527,6314340.09040,0
1733032800000,96384.60,96408.10,96350.00,96408.10,209.548,1733032979999,20196982.34540,3040,57.571,5549013.57840,0
1733032980000,96408.00,96471.80,96408.00,96471.80,59.124,1733033159999,5701362.06680,1836,36.036,3475096.25510,0
1733033160000,96471.70,96504.40,96460.00,96500.00,130.727,1733033339999,12613130.21510,2235,90.861,8766658.17970,0
1733033340000,96500.00,96560.90,96499.90,96546.90,98.927,1733033519999,9549214.73010,1976,64.235,6200429.98070,0
1733033520000,96546.90,96551.90,96537.60,96537.60,61.822,1733033699999,5968654.57990,1312,18.252,1762157.66510,0
1733033700000,96537.60,96550.00,96491.40,96491.50,110.233,1733033879999,10640364.59110,1858,33.652,3248443.20120,0
1733033880000,96491.50,96501.40,96450.00,96450.00,75.032,1733034059999,7239168.61410,1812,26.857,2591240.92150,0
1733034060000,96450.00,96461.60,96402.50,96461.30,77.632,1733034239999,7486358.89900,1756,25.787,2486873.63310,0
1733034240000,96461.30,96494.80,96437.10,96494.80,113.608,1733034419999,10959384.89080,1703,74.165,7154596.12190,0
1733034420000,96494.80,96514.30,96430.80,96435.60,102.716,1733034599999,9910020.28260,2005,60.257,5814055.65640,0
1733034600000,96435.50,96495.60,96435.50,96481.20,36.788,1733034779999,3548721.12320,1221,21.503,2074199.91400,0
1733034780000,96481.30,96520.00,96471.40,96486.00,78.182,1733034959999,7544486.86330,1823,58.997,5693198.32120,0
1733034960000,96485.90,96538.40,96485.90,96524.10,69.184,1733035139999,6677816.19650,1469,35.825,3457745.88260,0
1733035140000,96524.20,96524.20,96489.90,96514.90,51.707,1733035319999,4990141.78560,1509,19.778,1908637.60200,0
1733035320000,96514.90,96514.90,96460.10,96470.50,103.214,1733035499999,9958307.39380,1776,17.354,1674481.09960,0
1733035500000,96470.50,96482.10,96440.00,96476.40,90.240,1733035679999,8704426.25700,1652,44.036,4247747.10800,0
1733035680000,96476.40,96476.40,96402.60,96419.30,160.788,1733035859999,15506819.02120,2107,27.766,2678201.91540,0
1733035860000,96419.30,96419.40,96384.60,96384.60,158.895,1733036039999,15317405.01590,1803,19.686,1897680.50010,0
1733036040000,96384.60,96432.90,96379.50,96432.90,51.785,1733036219999,4992072.97490,1505,26.955,2598510.17290,0
1733036220000,96432.90,96449.60,96391.90,96391.90,84.523,1733036399999,8149687.32120,1216,15.496,1494304.36920,0
1733036400000,96391.90,96400.00,96369.80,96369.80,76.388,1733036579999,7362376.93670,1637,20.357,1962112.96910,0
1733036580000,96369.90,96400.00,96366.00,96400.00,52.683,1733036759999,5077281.01370,1017,25.090,2418114.96660,0
1733036760000,96399.90,96444.60,96367.00,96444.60,226.427,1733036939999,21826281.32570,2870,192.811,18586217.71840,0
1733036940000,96444.60,96457.60,96395.80,96405.80,145.642,1733037119999,14042887.84650,2407,20.510,1977581.70290,0
1733037120000,96405.70,96405.80,96380.00,96391.80,47.851,1733037299999,4612460.48900,1188,20.984,2022594.10450,0
1733037300000,96391.80,96452.20,96391.80,96452.20,32.873,1733037479999,3169653.46730,1262,25.441,2453041.22410,0
